column,127,227,31,296,36,195,46,48,44,109
127,nan,0.007352952,-0.1865286989,-0.0037232964,0.0503500686,-0.0646524753,-0.2297932401,-0.1915301025,0.0595806754,-0.1682423225
227,-0.2566302466,nan,-0.2753310229,-0.0045999133,-0.1567278808,-0.1976006093,-0.242360078,-0.2203311563,-0.1191931239,-0.1811381397
31,-0.0303244629,0.0018370868,nan,-0.0031197668,-0.13934752,-0.0706092758,-0.0270039182,-0.0212066031,-0.0231866659,-0.0056188437
296,-0.2742046718,-0.3868966955,-0.3054621375,nan,-0.1740423209,-0.0484984788,-0.2558674898,-0.2115162602,-0.1382310407,-0.1982536356
36,-0.0285647326,0.0052233557,-0.2173945494,-0.0048728699,nan,-0.0717361816,0.0235285998,-0.0222702052,-0.0251642481,-0.0051989905
195,-0.2555786214,0.0056643055,-0.2888627144,-0.0041223563,-0.1369905587,nan,-0.2618056871,-0.1992446959,-0.1029506024,-0.1987317204
46,-0.0277225833,-0.0005555637,-0.2911007432,-0.0057295603,-0.1739775183,-0.074335828,nan,-0.0204067217,-0.1369021369,-0.0065177163
48,-0.0302830947,0.0018351049,-0.2963738176,-0.0052833538,-0.1857923368,-0.0615268326,-0.3106520158,nan,-0.1461308446,-0.0054571114
44,-0.0294404879,0.0035985114,-0.2387063109,-0.0053416607,0.1789427064,-0.0760288739,0.0123820103,-0.0219276528,nan,-0.0055947955
109,-0.0300730969,-2.66774462608E-005,-0.21619302,-0.0013230554,-0.1971228355,-0.050895091,-0.3096444944,-0.2132129507,-0.1579448408,nan
